Columns,Run123,Run124,Run125,Run126,Run127,Run128,Run129,Run130,Run131,Run132,Run133,Run134,Run135,Run136,Run137,Run138,Run139,Run140,Run141,Run142,Run143,Run144,Run145,Run146,Run147,Average,SD
Composition of Charge(1),0.015282828998892668,0.01619993201725723,0.04630124806580263,0.04154638205863741,0.03003902660992501,0.02044523707416455,0.01782172774769622,0.015576681891321676,0.026241666020086724,0.04337697552425488,0.025254802097098607,0.01756897308137026,0.01628155271751965,0.03233025294123976,0.04607213126810533,0.037022127209031204,0.020964887267299562,0.02764420776439104,0.03906311257506145,0.011442687874800047,0.027646836172654624,0.02371682524906074,0.03111789339496202,0.03485640563634502,0.04333794699179143,0.028286093929950788,0.010607733710971755
Composition of Polarity(3),0.03050234237701593,0.052664855125891835,0.02352440539218741,0.02231059341133571,0.033576495790565236,0.02475397332495921,0.027204556261296614,0.036992892955855915,0.023409053115237145,0.022651694597152126,0.040635367246451504,0.020955092049606487,0.023263189649295066,0.01715632893808271,0.014675691015709855,0.029194030085717193,0.023995442587094948,0.036741111368462635,0.029178969484017814,0.03269142191075911,0.034035902353710706,0.022219275993235407,0.01785859238007231,0.02801030979737316,0.0194634475857217,0.02750660139187231,0.008302849052886844
Composition of No. of hydrogen bond donor in side chain(1),0.04179820116567581,0.027975861151870153,0.020822174066187128,0.025263076526916298,0.005650486451503717,0.013774292840654461,0.027037469641251782,0.024742388177328805,0.0392255283170355,0.031627574136898956,0.021682357118186196,0.036353795828527165,0.02225352234438363,0.026518973311687722,0.03407727575366316,0.024104780612778855,0.02390176224105126,0.03530991026089378,0.025032306358989054,0.03317955988496886,0.03271086721993321,0.0186152551993978,0.033555931026466784,0.01193111926696144,0.012613554880958062,0.025990320951366785,0.008809053218823566
Composition of Charge(2),0.027637699912122733,0.011824928775619999,0.0362227064461756,0.020546373416018882,0.04382289317398103,0.0199641494245429,0.02853182969735084,0.02950218480029134,0.028297330103736175,0.01181344599355343,0.03616024278140797,0.021642724151349393,0.021630997901242618,0.02632975130526539,0.023711584676406307,0.020970006497588057,0.018344672893806313,0.012800622487384911,0.02490694547698954,0.044595686793903175,0.026192279353076095,0.04550574223147495,0.01337662376931266,0.03038340403178855,0.021068794578221542,0.025831344826904416,0.009490231582504487
Composition of No. of hydrogen bond acceptor in side chain(3),0.016205724257457785,0.0300267309125972,0.01700434450489914,0.02387219297131097,0.028153495622927502,0.017199863323772834,0.030183160130731454,0.04382201984102279,0.026344673360813458,0.02626216856533703,0.030758602627911306,0.021918169222321593,0.02468178434252752,0.013317968925840317,0.018667068764849956,0.01355953054700257,0.040838233867976276,0.013555666435891997,0.023882170291782884,0.008232146507461534,0.014682669826961535,0.03171943541837794,0.02025569465378577,0.0368913648541637,0.04168831311853564,0.024548927715850426,0.00943717967455732
Composition of CLogP(1),0.02236769828504425,0.007018246348693454,0.021092367517118297,0.02294050482950556,0.025809360406954234,0.026404635208878088,0.023658836656233907,0.03720581716644471,0.00500498710689828,0.009403410425077065,0.030578642141335762,0.017350805976170825,0.04116445153431422,0.023809588773479304,0.01892769529071272,0.01805636639288548,0.03323859129955446,0.03523038955901832,0.03863525834645656,0.019286157205825397,0.011901517125983207,0.034205426243292134,0.0141215833733458,0.04039114796230925,0.0306306891087802,0.024337366971372464,0.010211836361340485
Composition of No. of hydrogen bond donor in side chain(3),0.02399137485924191,0.014498897743037347,0.03411641792412511,0.025466198227182327,0.01733464076719611,0.016325715010646332,0.022408731715515776,0.018107071442731142,0.032747409328025626,0.027666231167173653,0.00631759771004722,0.03278262165860318,0.02088306803146664,0.030593312167048907,0.01365842179266149,0.025617582557796927,0.015023119482129466,0.01959744756547837,0.013229331772473079,0.028279184465058265,0.035091760699719886,0.016903135973432012,0.024484224787715215,0.01305874581054825,0.0267235090659869,0.022196230069001642,0.007567183625358412
Composition of Polarizability(3),0.035083434093003726,0.01822802216688138,0.02055435696485171,0.030269981882020427,0.02834124392621142,0.01692858450932731,0.01831579677807981,0.01626737677748818,0.012407290076873056,0.023490575474402985,0.021771285930519677,0.01941208770748985,0.019774830930204167,0.03476756840144052,0.011682068663993019,0.025062424989779314,0.015110490362250976,0.016539247678696193,0.01496884020756301,0.007610799030906164,0.025620761723889336,0.01718648983393227,0.008912641621909244,0.0171797439675413,0.017393167268753985,0.01971516443872036,0.0069521837940957456
Composition of Solvent accessibility(1),0.028776387381524743,0.020466577011274623,0.02365864379917928,0.01550754992764456,0.012739393929649572,0.016355605373943184,0.030716077134353835,0.011394001572519486,0.016141833570415903,0.021713634261243005,0.0078074701381674935,0.021457963081966534,0.010062272790815759,0.018497503870542158,0.03371400183790609,0.026415418881078238,0.01655311471493431,0.01118947125834466,0.008267318506573305,0.03050379287839267,0.009333177252374503,0.010931411029289642,0.017298718410033772,0.03336191621485512,0.024283107933245965,0.019085854510410737,0.007953269254498732
Composition of Hydrophobicity(1),0.017731889034470982,0.027880371303633834,0.02312664776076918,0.022704819001837045,0.01404390630574689,0.02656582243408309,0.01684153969467179,0.012318133295044957,0.014730583881601892,0.020470227723602515,0.01113519178378396,0.014033753881474471,0.014247616555071674,0.014827732086702324,0.024920152450282198,0.018356982612375044,0.014452566086721933,0.01273745899275591,0.019605643107285457,0.0168582636882747,0.018113525346413265,0.01396785383760441,0.03978817793922492,0.021925999558922847,0.020469882829672246,0.018874189647681103,0.006190745285590759
