Columns,Run123,Run124,Run125,Run126,Run127,Run128,Run129,Run130,Run131,Run132,Run133,Run134,Run135,Run136,Run137,Run138,Run139,Run140,Run141,Run142,Run143,Run144,Run145,Run146,Run147,Average,SD
Composition of No. of hydrogen bond donor in side chain(1),0.07681647889967408,0.04282923440973534,0.039249056556798195,0.058377112326218915,0.01812243218384245,0.03253347149465657,0.0636507513368063,0.0373568726940114,0.07294934525811811,0.03755701636539497,0.03529731637280173,0.06231918983214606,0.04054026206397908,0.05891188389821278,0.06255170223831952,0.048859955854395364,0.04552440464808462,0.06893807145915298,0.039122280395285196,0.059366830911409936,0.04513793087523021,0.04399126411994624,0.0755157686777012,0.030265152089231685,0.03634203054016584,0.04928503262005275,0.015309742649625412
Composition of No. of hydrogen bond acceptor in side chain(3),0.041162287263972405,0.04919220849171871,0.03866890337651636,0.04997114252503772,0.06667138097281988,0.03817230278289908,0.03442417364844593,0.07452063088618549,0.03899917208201619,0.06023768183429864,0.040343873619807694,0.0391870935797935,0.03570454999983893,0.019578623779090455,0.042180856390202685,0.03891042781418074,0.04213242667820801,0.02775011256158899,0.026276662820135896,0.01903577038786998,0.0261672946200803,0.054700287117298574,0.04622062391859852,0.05169170348078318,0.06585382025708687,0.042710160435539,0.013895822654101336
Composition of No. of hydrogen bond donor in side chain(3),0.0414499604724671,0.045608704723716656,0.05393862656485733,0.03432805072482558,0.026449278697075237,0.030902188664564387,0.05167573567010593,0.03760099922693075,0.03142066469461183,0.05555546655473224,0.039215434656705433,0.06705708479004505,0.041311844329427826,0.04755894483345778,0.031867426611028406,0.043372158674268795,0.024201060731854226,0.039873319187454376,0.026851306246461485,0.056057326606446904,0.044885334310928816,0.03480837212819296,0.03321132868598546,0.025449765056061214,0.04366622812754413,0.040332664438789995,0.01068226959128248
Composition of Solvent accessibility(1),0.04399183948732016,0.0475130558303357,0.05337375165788426,0.01972469075936557,0.02615437432132466,0.022280238744777404,0.045035472335112486,0.025449125576060796,0.027026344405972937,0.040985767230598484,0.01812855430652802,0.0636423832357839,0.024330219426094372,0.026898877493305752,0.030963376115029573,0.03922475653850417,0.03107179650642732,0.032073642119888494,0.0375283222104264,0.03513848121426415,0.03233826432601252,0.03230050514383846,0.030772539247863637,0.04041509224553286,0.05878385849331297,0.0354058131588626,0.011509839451215486
Composition of Polarity(3),0.04919746262911663,0.06060129270750605,0.03471860912786315,0.02693383828166753,0.03943934301428967,0.044005028675964765,0.02709134886404856,0.053320706113381695,0.0201989833617504,0.034623680967356955,0.05863792643002449,0.015530897768989114,0.04771510114649736,0.025392360345690985,0.02006246414702708,0.03760581486990942,0.031266377665803646,0.029129469362889165,0.054219708296225,0.0538200498658548,0.029413480593975038,0.024153702173083578,0.024858970599366068,0.01999213616627803,0.02040820115758004,0.03529347817328557,0.013448761045792762
Composition of CLogP(1),0.00294770622895623,0.004103773294062414,0.03520213390257963,0.028217483546538857,0.047623914976089934,0.03942671301109888,0.04166913595552671,0.03857006372191544,0.010888131397557836,0.03007215480403095,0.032230300725827915,0.025218005008996104,0.049480674684486005,0.020190698122359237,0.05630840415603798,0.030564063576915705,0.054221808681595124,0.049551671241425836,0.033151069782388756,0.01230423090037464,0.020103309918441316,0.05269455163526034,0.024455421824016083,0.040318389258273094,0.02192704820224234,0.03205763434227989,0.014972773487967512
Isoelectric,0.0297111216233675,0.025933772606784117,0.036199071245746686,0.008806460942873786,0.005649602311081816,0.025087139705144722,0.014726344308922903,0.03875300215170631,0.02891538454908092,0.03545601953108868,0.020412693097561833,0.014508599468548853,0.02431733187291156,0.020266153802139867,0.014935507744532145,0.021771590641009926,0.0454852441871618,0.015611136694319296,0.031857740830586685,0.02163320814440627,0.024214536345591554,0.00887495567824636,0.04246286733214908,0.02949532845944578,0.019073311786852388,0.02416632500245043,0.010276034949972876
Transition of No. of hydrogen bond donor in side chain(1),0.017704002578713924,0.025343772312688754,0.008036948172662456,0.034346233240882415,0.01645448492926278,0.011299472738576339,0.009356143808795734,0.015909735902777087,0.0161762730793455,0.02776265537800374,0.01241551685838806,0.004557783813497078,0.028679297035605754,0.030887547526974715,0.0028444014866712236,0.026758234148267137,0.01906472526083521,0.029932814531864253,0.01185469089686774,0.036176241945641445,0.03133610336390578,0.020086231895493786,0.03574670436685864,0.018961078085126128,0.01860347395907038,0.020411782692671042,0.009609553412102166
Composition of Normalized vdW volumes(3),0.01901267370459203,0.015270677236286764,0.015530717383464388,0.014521947209191883,0.008761623612162739,0.019173571684469447,0.01699203292068483,0.023815576745115655,0.01792679053672104,0.017172781991680316,0.04482915385830439,0.026009338046984593,0.019185408553357444,0.01105360788813603,0.027573505630768914,0.032095422142488846,0.016352391469135037,0.020601749528840398,0.0229667124802831,0.008250012924568813,0.02697236382440338,0.01970784687276065,0.017836538035137878,0.016182118733678266,0.010761794156845644,0.019542254286802497,0.007698720490584462
Composition of Polarizability(3),0.023235122237676372,0.0104003734611425,0.015354356659816923,0.019078953455839605,0.03106530832478115,0.020837048194266027,0.008531493868969313,0.011066078558281438,0.027320528274518217,0.028193789921550246,0.023280804493305135,0.01785970470129906,0.034211672358535276,0.034552701940558636,0.00450841750841751,0.0266049546085538,0.006491859243697479,0.00800750803583316,0.019099561669503183,0.011057560457091574,0.019790262022175466,0.016608580102072893,0.012479940985337097,0.01050357202303285,0.020662548612941308,0.018432108068767848,0.008478918289035915
