Columns,Run123,Run124,Run125,Run126,Run127,Run128,Run129,Run130,Run131,Run132,Run133,Run134,Run135,Run136,Run137,Run138,Run139,Run140,Run141,Run142,Run143,Run144,Run145,Run146,Run147,Average,SD
R,0.010498478448364703,0.0299988188760601,0.03459136664356034,0.02684484757568035,0.017907763948145326,0.027968446270315837,0.01594756831293951,0.03467559946698398,0.014638055657771702,0.02974594512558096,0.03482172707320469,0.006359800647127232,0.015725255487918196,0.023561071045617984,0.013754042740980934,0.009742588633467273,0.020314763661350387,0.04353313304187119,0.02684024303624918,0.036190227781518605,0.017615155905302007,0.01887602618077709,0.03766181947459715,0.00945958490189798,0.022594258968754534,0.02319466355624149,0.009997463727605007
Isoelectric,0.03986907313685401,0.010967533962927547,0.020076976219194045,0.01656660861831731,0.020495994133769308,0.035504430301289976,0.035864783024471894,0.026273959456864747,0.01624077402913375,0.02615075358879762,0.016190073687361233,0.014692715191355026,0.012744398051675786,0.04445563992021513,0.0209592855329004,0.022845059728138484,0.03487732816921135,0.025870065171854986,0.01093641020029718,0.009210304671714124,0.027297911029377966,0.019568127755858405,0.02962091615338225,0.014685640140357099,0.0112844866877368,0.02252996994252226,0.009630743713118756
Distribution of No. of hydrogen bond donor in side chain(12),0.016371359401228844,0.02337105255125704,0.014997931819069946,0.01504468264591538,0.030791001939427447,0.01948430165666645,0.008618984727201887,0.02519338558246458,0.020870037093231958,0.01783037149180122,0.024024233136908366,0.02789861783281449,0.010850552316134963,0.028791324087330726,0.02023611343284516,0.028964331366670506,0.026953626689578836,0.025866106140753246,0.023616335453186078,0.01880297815483607,0.017853453020375176,0.022004182963387933,0.029784256309356612,0.011117236859173903,0.015539394826845862,0.020995034059938505,0.006159409240275013
Composition of Charge(1),0.019240335255750116,0.01720503518327976,0.02701835115947985,0.02349614057485345,0.020061735382717265,0.020121136644851417,0.017485751444343278,0.010976828567042613,0.023171831275545843,0.02591379131857628,0.01771325010696363,0.025257834505367414,0.014426875925266352,0.013793227733102322,0.033778399769017364,0.021447735927540863,0.011970772307208744,0.022774890937289138,0.018180331516755025,0.01018913208273324,0.026185442152093313,0.019805754261738768,0.019554415430249224,0.023264627914820063,0.025085563875869788,0.020324767650098205,0.005444890831879993
Distribution of Normalized vdW volumes(11),0.032583897469439,0.013745250589439201,0.026678142702430897,0.015546349812485802,0.019722966490544218,0.023459279066761225,0.015841044605981017,0.011205016840471545,0.016785709617270047,0.018235030379252167,0.02544758559065276,0.02189147330734595,0.017806526607182634,0.024335746721977077,0.01584696825628766,0.012770570434993524,0.021179626426425045,0.02396891455247977,0.017589956326367163,0.019225100924906414,0.023251178773468974,0.014487830963802833,0.017382766604280266,0.017712733564146804,0.019872638847014255,0.01946289221901625,0.004807561939382206
Distribution of Solvent accessibility(4),0.03586108905061448,0.009814801729993834,0.025540387490474815,0.021969340911302558,0.02524517661008643,0.02758601746925579,0.007015382805771842,0.018922720280593774,0.018096898941137356,0.013636046938675105,0.012270464805089167,0.018218544783379864,0.012858956625601293,0.01894845212123288,0.014329491522790186,0.0232834029989628,0.02978532841367965,0.015248922727939316,0.0212530918639023,0.022561594153055052,0.030322182980149805,0.0088918616921034,0.007818331800931815,0.033786436839311186,0.012945618273680546,0.019448421753188613,0.00795938794835209
Composition of No. of hydrogen bond donor in side chain(1),0.04245532911969017,0.008600845711561602,0.005396504654382051,0.031197776458695408,0.010924984793719169,0.004870679286405219,0.01882840382043268,0.009315249741165522,0.035261435584952074,0.015001825269577343,0.027469378617457442,0.012058633108018033,0.03252136411585746,0.01874694777070735,0.022939656734903124,0.02049252457816404,0.016186659712089428,0.03448469402495741,0.01570292531910914,0.015450646626987757,0.020783382946810803,0.02517261328791737,0.013312826705632923,0.01173739052466661,0.007623221088138572,0.019061435984079948,0.009957193641812818
Distribution of No. of hydrogen bond donor in side chain(15),0.010245512502969067,0.022706703460857708,0.023475879502981283,0.02207471439760695,0.01211218257405377,0.0074113926368852175,0.014000769968984202,0.0198475030456007,0.020100098605698426,0.023291795920110988,0.020400220979043582,0.022993588199826494,0.02583859320916575,0.017787097287020513,0.010790655968389684,0.015110548373808196,0.01909267569225002,0.021723894496073582,0.03129715969112177,0.016846867782102416,0.02213264591074179,0.018743264669158516,0.024279871696058976,0.011719878276477072,0.015774728054838007,0.018791929716072988,0.0055099008394472035
Distribution of No. of hydrogen bond acceptor in side chain(9),0.009100772201263608,0.027094104871332177,0.026167903379325702,0.019919825135012816,0.026578441662685675,0.018137740635292183,0.007948383537024106,0.023125766317052286,0.03181270820810027,0.012945700156971005,0.02267760256216781,0.011342581946612654,0.017961602618018584,0.024642037308167105,0.024051781639116677,0.01802461628430803,0.015490642886174653,0.030022886661810144,0.022956826652296945,0.002959106383884314,0.008463419270842237,0.013045836754337715,0.019394100207692798,0.008280882611451114,0.022208681692826856,0.0185741580633507,0.0075352744706162385
Distribution of No. of hydrogen bond acceptor in side chain(12),0.01427673334329488,0.009564406834896047,0.016492874681486996,0.019696233938726788,0.031229832657764967,0.0237643979152542,0.02288060573635764,0.015812476296967966,0.03124530784507438,0.03547131871095803,0.012396581765849391,0.008044957691774175,0.016013180285028968,0.025918692911826177,0.011655532022679613,0.01883483793577576,0.015853974055133807,0.012678011686168158,0.0122529152034321,0.018038963665606953,0.02725923206250737,0.011521878926608263,0.011955897738011024,0.02259675626682015,0.01792703185021957,0.018535305281128935,0.007183267781765849
Distribution of No. of hydrogen bond donor in side chain(9),0.018641806646484477,0.018749607577595855,0.013948817241807372,0.019751561767976482,0.015862212558871554,0.022058104442430615,0.021752609485277366,0.013003091156987523,0.015520088214405165,0.011778337694485158,0.017051249440096557,0.022264695375724557,0.023129396831597395,0.028793932608479008,0.001856271083858751,0.023001396179466543,0.017231993832280544,0.025441233485544723,0.018599021232020292,0.01642606992856195,0.0063906854082091714,0.01558685121302107,0.024940157198584344,0.018518820801216508,0.03198067156879956,0.018491147318951302,0.006356743428013698
Distribution of No. of hydrogen bond acceptor in side chain(15),0.026307420338326025,0.030219284516882293,0.0192396482600455,0.03413094069311021,0.02146875754285449,0.005108132422436328,0.011632541809783908,0.02167889774046234,0.012315810350001732,0.01684248061608154,0.005899997107294181,0.01825683369646699,0.00532591876854172,0.030306926862548444,0.011491900251918631,0.014390164363609405,0.015063574655707242,0.02771600443007632,0.00866873587626858,0.01670030798477774,0.022194713022751122,0.017426677095654642,0.019746225324727605,0.03230251162337339,0.01289798469547665,0.01829329560196708,0.008249084567927547
Distribution of No. of hydrogen bond donor in side chain(6),0.0018377161921348964,0.023895263008543294,0.02423055779327363,0.017479467635942873,0.017320124530436437,0.020449375238190615,0.023217315467166655,0.03960171859832065,0.022232404554713675,0.02905087090466357,0.02119533470188478,0.014348099083463834,0.019750564590377873,0.006192576269065069,0.0074105894935058295,0.011684100686069971,0.010227498590304744,0.006397514832345446,0.024679336373743616,0.010495156158000354,0.024876423681264016,0.026088074007464317,0.012563382913741547,0.021379058197237653,0.016547432196843813,0.018125998227947967,0.008354217663702083
